_id,minimumDepthInMeters,dynamicProperties,verbatimLatitude,month,continent,occurrenceID,latestEpochOrHighestSeries,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,earliestEraOrLowestErathem,infraspecificEpithet,latestEraOrHighestErathem,recordNumber,day,individualCount,lifeStage,scientificName,lowestBiostratigraphicZone,habitat,sex,year,eventTime,latestEonOrHighestEonothem,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,formation,earliestEpochOrLowestSeries,group,highestBiostratigraphicZone,earliestAgeOrLowestStage,country,decimalLongitude,genus,family,phylum,higherClassification,islandGroup,catalogNumber,verbatimLongitude,preparations,maximumElevationInMeters,earliestEonOrLowestEonothem,modified,bed,island,minimumElevationInMeters,subgenus,institutionCode,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,recordedBy,class,basisOfRecord,dateIdentified,scientificNameAuthorship,order
3125383,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-22"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Plebejus argus cretaceus Tutt, 1909""]}, ""preservative"": ""Dry - mounted""}",51 21 59 N,,Europe,06ea2c47-395d-4762-9fcb-45af8265e4a4,,,,,51.3665,,cretaceus,,,,,,"Plebejus argus cretaceus Tutt, 1909",,,,1924,,,NHMUK:ecatalogue:5729146,,argus,,BMNH(E),Europe; United Kingdom; England; Kent; Eynsford,,,,,,,United Kingdom,0.2115,Plebejus,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Lycaenidae; Lycaeninae,,BMNH(E)1368769,000 12 41 E,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,W Crocker; Crocker,Insecta,Specimen,,"Tutt, 1909",Lepidoptera
3083802,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-14"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Polyommatus icarus icarus (Rottemberg, 1775)""]}, ""preservative"": ""Dry - mounted""}",57 13 56 N,07,Europe,06ebe902-41dc-47b2-9c24-221317cd0d83,,,,,57.2322,,icarus,,,02,,,"Polyommatus icarus icarus (Rottemberg, 1775)",,,,1926,,,NHMUK:ecatalogue:5629190,,icarus,,BMNH(E),Europe; United Kingdom; Scotland; Aberdeenshire; Kemnay,,,,,,,United Kingdom,-2.4457,Polyommatus,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Papilionoidea; Lycaenidae,,BMNH(E)1301668,002 26 45 W,,,,2016-06-16,,,,,NHMUK,,,,,,Scotland,,,,W Rait Smith; Rait Smith,Insecta,Specimen,,"(Rottemberg, 1775)",Lepidoptera
3056920,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-20"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Plebejus argus argus""]}, ""preservative"": ""Dry - mounted""}",51 11 51 N,07,Europe,06eba5dc-ef86-491e-985f-dd6b31e2ba16,,,,,51.1975,,argus,,,01,,,Plebejus argus argus,,,,1943,,,NHMUK:ecatalogue:5685678,,argus,,BMNH(E),Europe; United Kingdom; England; Surrey; Farley Heath,,,,,,,United Kingdom,-0.4934,Plebejus,Lycaenidae,,Insecta; Lepidoptera; Lycaenidae; Lycaeninae,,BMNH(E)1368880,000 29 36 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,W Rait Smith; Rait Smith,Insecta,Specimen,,,Lepidoptera
3125377,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-20"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Plebejus argus cretaceus Tutt, 1909""]}, ""preservative"": ""Dry - mounted""}",51 21 59 N,,Europe,06ebc38c-281c-4a5f-93d8-d7c05a18528c,,,,,51.3665,,cretaceus,,,,,,"Plebejus argus cretaceus Tutt, 1909",,,,1924,,,NHMUK:ecatalogue:5691312,,argus,,BMNH(E),Europe; United Kingdom; England; Kent; Eynsford,,,,,,,United Kingdom,0.2115,Plebejus,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Lycaenidae; Lycaeninae,,BMNH(E)1368774,000 12 41 E,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,W Crocker; Crocker,Insecta,Specimen,,"Tutt, 1909",Lepidoptera
3070896,,"{""recordtype"": ""Specimen"", ""created"": ""2014-02-27"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Limenitis camilla (Linnaeus, 1764)""]}, ""preservative"": ""Dry - mounted""}",50 52 21 N,06,Europe,06eac5a2-a6ab-47f6-868e-6fb4a8b5952d,,,,,50.8726,,,,,24,,,"Limenitis camilla (Linnaeus, 1764)",,,,1903,,,NHMUK:ecatalogue:3037712,,camilla,,BMNH(E),Europe; United Kingdom; England; Hampshire; Lyndhurst (Nr),,,,,,,United Kingdom,-1.5768,Limenitis,Nymphalidae,,Insecta; Lepidoptera; Papilionoidea; Nymphalidae; Limenitinae,,BMNH(E)1047475,001 34 36 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,,Insecta,Specimen,,"(Linnaeus, 1764)",Lepidoptera
3083974,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-14"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Polyommatus icarus icarus (Rottemberg, 1775)""]}, ""preservative"": ""Dry - mounted""}",50 49 36 N,07,Europe,06ec88a0-72cd-404f-bd88-ca23419e70d0,,,,,50.8266,,icarus,,,02,,,"Polyommatus icarus icarus (Rottemberg, 1775)",,,,1902,,,NHMUK:ecatalogue:5625046,,icarus,,BMNH(E),Europe; United Kingdom; England; Cornwall; Bude,,,,,,,United Kingdom,-4.5437,Polyommatus,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Papilionoidea; Lycaenidae,,BMNH(E)1334793,004 32 37 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,A T Goodson; Goodson,Insecta,Specimen,,"(Rottemberg, 1775)",Lepidoptera
3147497,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-17"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Lysandra coridon (Poda, 1761)""]}, ""preservative"": ""Dry - mounted""}",52 02 53 N,08,Europe,06ecae23-afc0-4303-aede-4fd9d981b3a3,,,,,52.0481,,,,,,,,"Lysandra coridon (Poda, 1761)",,,,1924,,,NHMUK:ecatalogue:5663083,,coridon,,BMNH(E),Europe; United Kingdom; England; Hertfordshire; Royston,,,,,,,United Kingdom,-0.0241,Lysandra,Lycaenidae,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Subfamily unassigned,,BMNH(E)1163277,000 01 27 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,W Rait Smith; Rait Smith,Insecta,Specimen,,"(Poda, 1761)",Lepidoptera
3098071,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-17"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""type"": [""Paratype""], ""name"": [""Leptidea sinapis juvernica Williams, 1946""]}, ""preservative"": ""Dry - mounted""}",53 09 32 N,06,Europe,06eaf32e-719a-4c68-8f01-82d5b362c387,,,,,53.1589,,juvernica,,,17,,,"Leptidea sinapis juvernica Williams, 1946",,,,1936,,,NHMUK:ecatalogue:5659641,,sinapis,,BMNH(E),Europe; Republic of Ireland; Kildare,,,,,,,Republic of Ireland,-6.9096,Leptidea,Pieridae,,Insecta; Lepidoptera; Papilionoidea; Pieridae; Dismorphiinae,,BMNH(E)1118698,006 54 35 W,,,,2016-06-16,,,,,NHMUK,,,,,,,,,Paratype,D Westropp; Westropp,Insecta,Specimen,,"Williams, 1946",Lepidoptera
3087647,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-22"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Pieris brassicae (Linnaeus, 1758)""]}, ""preservative"": ""Dry - mounted""}",54 27 58 N,07,Europe,06ea66d6-0ed9-4be6-82d3-2c3d4ae15415,,,,,54.4662,,,,,22,,,"Pieris brassicae (Linnaeus, 1758)",,,,1949,,,NHMUK:ecatalogue:5738212,,brassicae,,BMNH(E),Europe; United Kingdom; England; Cumberland; Coulderton,,,,,,,United Kingdom,-3.5674,Pieris,Pieridae,,Insecta; Lepidoptera; Papilionoidea; Pieridae; Pierinae,,BMNH(E)1126985,003 34 03 W,,,,2016-06-16,,,,,NHMUK,,,,,,England,,,,,Insecta,Specimen,,"(Linnaeus, 1758)",Lepidoptera
3112091,,"{""recordtype"": ""Specimen"", ""created"": ""2015-07-17"", ""project"": ""iCollections"", ""centroid"": false, ""determinations"": {""name"": [""Polyommatus icarus mariscolore (Kane, 1893)""]}, ""preservative"": ""Dry - mounted""}",54 13 26 N,07,Europe,06ec5c72-ebbb-45ae-b3f7-eaa6537d1be8,,,,,54.2239,,mariscolore,,,08,,,"Polyommatus icarus mariscolore (Kane, 1893)",,,,1924,,,NHMUK:ecatalogue:5670417,,icarus,,BMNH(E),Europe; Republic of Ireland; Mayo; Belmullet,,,,,,,Republic of Ireland,-9.9876,Polyommatus,Lycaenidae,Arthropoda,Arthropoda; Insecta; Lepidoptera; Lycaenidae; Lycaeninae,,BMNH(E)1301879,009 59 15 W,,,,2016-06-16,,,,,NHMUK,,,,,,,,,,L A E Sabine; Sabine,Insecta,Specimen,,"(Kane, 1893)",Lepidoptera
